@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"immediate high least last other new bad free full obvious",one
"reasonable good honest tony great",five
"less worst 50min",one
"great fresh amazing",five
"different good fresh high similar many unique exceptional excellent present",five
"great casual reasonable different other pretentious immediate",five
"many single enjoyable new strong perfect",five
"quiet other nice",five
"available rudest human upset previous funny slightest happy",one
"glad few corporate astounded delicious phenomenal super awesome good fresh fantabulous wonderful cozy pricey",five
"okay impressed worth fresh hot packed other available sensational multiple large last least equal heavy",five
"amazing great exceptional",five
"automotive east last",one
"great everyday",five
"old open packed excellent great last small local",five
"honest great",five
"many nice few small packed wrong masterful great important delicious different blue bad chewy tough citrusy good excellent sweet dizzying noticable favorite impressed highest crunchy superb delicous authentic worse wonderful lazy",five
"last full black citrusy fantastic other different wonderful good big odd strange thin shy great delicious",five
"wonderful healthy few smart cheapest hardy super cloudy cheap remembered worthless same other reputable partial",one
"horrible other able illegal legal tremendous rude ridiculous military landscaped",one
"super rude delicious entire absolute small thin chinese great nice tiny lemon other same 17th loyal rudest",one
"abrasive clean",one
"coarse last poor great marginal attentive many",one
"single worst chinese 3pm rude hungry new high awful cold different miserable",one
"old crazy cheap individual willing huge beautiful nice clean many other expensive worth",five
"cooler serious new good funny personable friendly unpretentious",five
"least awesome large outstanding thin",five
"wrong unacceptable incompetent friendly",one
"dark nice good great bottled cheap easy",five
"terrible",one
"warm slower wrong sorry slow needless frustrated good english",one
"impressed quiet fabulous older kitschy green delicate prepared young nervous pleasant great friendly bent sweet",five
"worst rude last",one
"noble rude unhelpful dark",one
"few bad soft crusty big white bland popular other crappy bottled suburban happy trendy due hungry crummy welcome pre frozen backdoor heated mad",one
"amazing thankful free",five
"quaint good strong",five
"glorified red amazing scalloped cheesy delicious outstanding several",five
"mexican great large hot prickly particular usual regular chunky mild hotter crisp full yummy weird larger disappointed",five
"good warm nice tasty grilled happy",five
"worst oldest experienced atrocious expensive clear",one
"new favorite great good full awesome greasy",five
"great",five
"high old minimal clear huge 3rd additional frustrated worth",one
"awful terrible",one
"such positive friendly excellent pre indoor ample outdoor shaded cute",five
"horrible 30min simple busy military common higher inconvenient burdensome dirty seperate lazy",one
"excellent great good",five
"great difficult honest happy 25th automotive second expensive unnecessary routine",five
"new favorite dirty good big bummed few awesome amateur easy loud",five
"great",five
"disgusted worth terrible certain wrong weary",one
"big good weak wrong few other funny free miserable loving",five
"friendly happy professional great",five
"less terrible apt smelly rude helpful correct infested cheap",one
"uncool dark packed loud own normal awkward black interesting",one
"great red edible mayan lemon super fresh heavy delicious higher large cute different grateful",five
"",one
"last good ready spare",one
"wonderful authentic great awesome white jalapeno tasty",five
"strange entertaining local rude black ready friendly non comfortable great other",one
"awful other few pleased comestible rich bountiful worst greek old dusty second worse cold funniest careful hot false displeased biggest good",one
"regular busy horrible less disappointing",one
"gross last",one
"1st horrible happy poor burnt special antipasto open good",one
"golden fresh surly lovely aghast experienced other systemic alert good retail dangerous second unauthorized",one
"big extra beige interesting flavorful starter least tasty unhealthy precious",five
"fair worst horrible tasteless busy prepared",one
"cold warm obvious good wrong disappointed",one
"few busy helpful safe crazy",five
"new technical direct old lame generous possible local true additional remote single limited free available full pacific uneccessary extra same ridiculous tiny separate worst",one
"happy local new amazing good few tough other",five
"removable synthetic several other large small impressed competitive optimal weird professional final stronger many ready cheaper expensive due ridiculous leaky great extra poor economic rid clean national",five
"fresh mixed several previous full last correct appropriate civilian black interesting stupid easy efficient less hellish worth impressed large baked huge dirtiest special exemplary perfect commercial beautiful soylent green irish white uncooked",one
"absolute worst solitary white other various difficult limited actual dissapointed possible tasteless unwilling traditional",one
"previous happy free diagnostic major few helpful",one
"hot great",five
"soft gentle knowledgable",five
"absolute other different important wrong quick certain english livid good",one
"clean extra sensitive utmost incredible deluxe",five
"great attentive busy small",five
"paired simple amazing green creamiest subtle old great shady",five
"last usual bad other upset least less unfair social",one
"angry sonic",one
"tony great",five
"original second different worse awful bad",one
"black wrong good second",five
"loving creative many wonderful impressed local last located good italian tasty classy attractive comfortable friendly knowledgable efficient stuffy obtrusive special iced black uncommon exceptional large uncooked fresh small mixed lovely pre unbeliveable perfect crunchy fluffy gastronomic unbelievable remembered",five
"sandy nice quiet busy delicious older helpful special few complete complimentary efficient great hot good fantastic",five
"old extra terrible",one
"great bland mediocre gross",one
"new rude great cleaner",one
"good small",one
"impeccable high flawless different fantastic french incredible limited excellent brilliant low singular intimate main small big many other",five
"bad careful",one
"pleasant courteous informative",five
"overworked busy horrible new wrong",one
"happy bad many green critical tangible expensive other",five
"great",five
"cleaner absolute nice good last new terrible rude single extra worth upset greasy ridiculous hot",one
"good old mexican watery own brownish reddish mealy vague red raw green unusual strange putrid unidentifiable prepared sick thorough human",one
"hungry willing hefty good limited lukewarm warm unexciting last weird unfresh disappointed bad glad asian few",one
"horrible clear red rude lucky sweet unfortunate impeccable",one
"other exceptional complete wonderful happy",five
"",one
"own",five
"great interesting witty decent cheap low",five
"gross old different other taller same impossible busy lazy older general horrendous new happy",one
"incredible facial entire upper cranial warm new",five
"favorite",five
"few civic full awesome old nice",five
"bad regular good last untouchable needless",one
"flavorless french possible perplexed distant",one
"awful sad new empty few dusty old good worth entire disappointing worst particular similar",one
"wireless less wrong 7pm east open",one
"prime usual thick quick second apparent middle rare raw cold busy few higher empty forthcoming outer exhaustive final bad poor",one
"regular obvious certain rude 20th",one
"careful own least other gross local sanitary",one
"rude",one
"amazing italian cozy romantic friendly knowledgeable good delicious special flavorful worth great favorite",five
"",one
"certain higher second east christian few perfect spiritual encouraged other religious centered legalistic realistic big small multicultural non denominational old new",five
"open indignant worst",one
"other disappointing terrible 30pm quick dry greasy cold hungry decent disappointed few",one
"good friendly wonderful great",five
"great quaint cozy good",five
"local good lukewarm",one
"great",five
"great friendly knowledgeable hesitant same loving whole",five
"last decent mexican less interested second atrocious dry old tasteless bland impossible needless good",one
"few oversized east great pleasant easy miserable original remembered perfect",five
"dirty bad",one
"amazing consistent original third other happy",five
"worst obvious competent painful extreme worse limp collegiate many low aware",one
"awesome great quick",five
"younger french certain such high same excellent perfect great",five
"worst open hot cold ridiculous least full",one
"sick",one
"great few last new remembered",five
"big sad convenient ridiculous worthy",one
"awesome friendly professional beautiful reasonable",five
"other same bland horrible great italian",one
"cheapest tasteless mexican greasy horrible",one
"keen great quiet romantic",five
"great pricey worth special snobby ready good sweet weird smaller excellent different adventurous native local raw small full complimentary nice least prepared",five
"same less higher extra slow",one
"great own comfortable amazing honest foremost concerned new",five
"56th indian sketchy scared asian stingy least weird full wonderful",five
"good few awesome last bad possible empty simple prepared modern extra careful undeveloped least japanese rude other restricted dreadful limited nice abundant experienced",one
"other nice honest less many necessary bad worried unbiased medical",five
"overcooked dirty",one
"great awesome such",five
"friendly amazing few good own",five
"several other unpleasant rude nice",one
"celebrated polite huge good blue crunchy creamy delicious green delish terrific 10th",five
"new horrendous devoid rational scandalous able intelligent willing busy many possible nasty other proper familiar",one
"last different mixed driest least appetizing heavy flat new exceptional ordinary sad cheap disappointing",one
"dirty worst 4th bad",one
"crazy modern great unique cheap red",five
"old mexican traditional older hot trendy same",five
"poor teenage wrong second new super expensive",one
"hesitant middle residential phenomenal outdoor amazing tall",five
"bare small",one
"rude good",one
"wrong amazing",five
"nasty good mexican",one
"fitting wide new nice full good warm friendly other",five
"minimal big",one
"young terrible",one
"friendly amazing",five
"last rude cold ugly lucky",one
"amazing hippest good",five
"25am delighted open 30am hungry big burly disappointed bright excellent",one
"such nice horrible 6th due",one
"bad many noble",one
"disappointed other mexican sour middle soggy whole greasy thin sorry",one
"good great small delicious crispy whole attentive friendly helpful other",five
"negative bad wrong funny wet horrible pushy sticky roasted okay disappointed busy tough seasoned decent tiny full cheap other good appalling disgusted hungry",one
"other professional friendly",five
"infamous big hot crazy awesome dark sweet great",five
"last multiple 7pm",one
"awful own",one
"amazing less new high mixed fresh absolute crispy full quick",five
"greasy mexican crappy crazy good",five
"free several super big low frequent higher hypocritical current worthless many other highest",one
"liable extra fishy major red open super worth",one
"nice delish fresh huge low full satisfied",five
"favorite great happy reasonable delicious wonderful huge disappointed",five
"japanese generic untasty prepared",one
"poor interrupted needless less correct rude",one
"least huge unique same large delicious last meatless amazing complete perfect",five
"frank 5pm",one
"perfect delicious jalapeno bashful good adventurous disappointed worthy rare sweet bloody phenomenal funny healthy prompt friendly",five
"amazing fantastic fresh delicious casual special free regular friendly helpful perfect",five
"chewy dirty dead",one
"ballet friendly new girly huge easy special",five
"east full generous attentive cultural",five
"other current new several able good bad unavailable unnecessary dead functional clear bent insulting shady",one
"imaginary rudest huge greatful",one
"psychic awful generic worth warm",one
"nicest big free classic",five
"few decent flat great convenient personable hot",five
"gentle great ready",five
"wonderful",five
"full such cute happy scared great own trim 1st other super",five
"slow expensive rude non responsive",one
"3rd bad undercooked low dark few extreme",one
"worth busy cozy delicious",five
"impressed great helpful quick last such excellent other good expensive fair reasonable outstanding",five
"amazing other current old recent sick full due military happy",five
"small special new disappointing hungry dissatisfied",one
"local rudest new actual needless",one
"poor busy",one
"expensive least favorite impressed enjoyable great open spacious clean nicer usual pricey",five
"new simple different competent medical",one
"chilly worst",one
"frank east wonderful outdoor gigantic hungry large full cheap fresh high sad other great",five
"favorite worse lazy older dry big white other least wrong worth good",one
"closest multiple previous perplexed attentive consistent same friendly outdoor available",five
"poor 6th other generous",one
"amazing informative professional red scarlet many avid creative final sketchy crazy strict",five
"great excellent amazing dissatisfied elderly good",five
"great",five
"horrible rude worth friendly free decent jovial busy empty odd normal frustrated interested interrupted main several other lone",one
"great small intimate excellent good",five
"different packed last lazy hot humid true rare good crispy soft perfect tiny interesting green lucky blond single delicious bad super thin large thick heavy white empty extra full prime busy",one
"terrible rude few open",one
"basic red good other",five
"amazing special wonderful recognizable fresh nice many other romantic great same expensive bad darn good lovely cheesy flaky fabulous big perfect terrific grand fluffy rich decadent",five
"wonderful small cozy quaint original good simple same due worth",five
"few own blue cold former stupid last highest greater",one
"good favorite",five
"delicious",five
"second friendly helpful great other wonderful few comfortable clean",five
"hopeless english simple funny different white 8th",one
"horrible pregnant excellent able correct possible disappointing second pelvic uncomfortable same urgent previous new high good nonchalant 19th big 26th unfortunate rid",one
"good friendly knowledgeable quick easy",five
"slow main clear actual good",one
"serious correct hot chewy old packed decent other wrong asian cheaper same least prepared few less gross good sad",one
"wrong rudest entire",one
"worst different",one
"old full bad okay delicious saddest raw blue friendly",one
"unwelcoming bad sorry",one
"full fresh italian great favorite flavorful other important amazing casual",five
"impressed culinary obvious perfect complete satisfactory such glorified edible special bloody grand superb solid excellent attuned simple actual benevolent prominent french positive strict good second formal expensive higher big several less",five
"third many clueless important few extra second dangerous errant 13th 14th 17th such 16th 18th last slow true happy other pointed terrible great",one
"cautious 90th happier entire super friendly wonderful old other bad",five
"amazing large intense delicious delightful low",five
"greatest classic fresh good other",five
"loud dysfunctional clean dirty pubic white non dusty cheap expensive disappointing sick bad extra green good syrupy sweet awful",one
"okay greedy undisclosed worth",one
"good poor own least",one
"quick affordable important free low cheaper proper wonky bad regular other big busier easy dumbfounded sick convenient particular simple less ridiculous actual okay same good anti responsible safe unprofessional",one
"worst slow mediocre simple worth quick full black dusty crummy east less several same",one
"",five
"fluffy other",five
"amazing",five
"high good bad super nice amazing general excellent sweet sour chinese",five
"new rich lower",five
"neat other beautiful riparian last amazing small serene",five
"favorite limited good admirable",five
"few populated favorite accessible 24th generous flat great several national fair super friendly lovely central shaded different other silent packed large leisurely beautiful amazing rocky good second eager whole barren thankful dark sore marked remote single",five
"6th pre commercial rude uncooperative simple different",one
"fantastic sicilian perfect main delicious",five
"amazing many",five
"true mexican awesome good loud informal great",five
"red such good raw entire new overcooked nice",one
"last great greater prepared 40th good amazing free",five
"fantastic huge whole mixed great okay sweet balanced soft fresh free gracious good",five
"same hungry good unhappy young unprofessional",one
"3rd great expensive complete",five
"consistent good quick",five
"",five
"picky",five
"last fabulous least fresh delicious great flavorful delicate overcooked quick hungry impressed good many sloppy",five
"great",five
"hot upset sweet crispy",five
"asian good biggest wrong funny curious similar",one
"red big impressed large thin grilled rare glad amazing flavorful crunchy sweet fresh delicious whole tangy non existent freshest",five
"other",one
"intense guilty difficult super nice fantastic hot lovely",five
"various mere rude gross sexist expensive generic cheap",one
"clear unusual same less good terrible raw black sad disappointing new interested financial worse frozen",one
"welcome super different interesting good general old",five
"high good amazing entire great fresh friendly",five
"awful inedible slow rude many exact terrible thirsty amazing",one
"serious last open doughy friendly polite fresh new loyal",one
"absolute open multiple other packed single serious general imperial old dirty clean grimy entire worried drunk hung sober ready complete",one
"unfriendly poor new",one
"good delicious french nice creamy solid disappointed checkered complete",five
"bad rough horrible impossible new friendly wrong",one
"amazing great",five
"favorite dark chic classy trendy regular great perfect wild quieter delish awesome good",five
"super friendly",five
"exceptional many bad last courteous attentive superb",five
"great friendly able non mexican diverse",five
"favorite casual inexpensive good worst worse angry least regular iconic legendary forgettable nice happy",one
"negative bad rough specific",one
"last interesting cold wonderful good plentiful additional hot amazing beautiful packed full bad",five
"social negative wrong aggressive acceptable hot same entire infested easier",one
"special great",five
"high tasty big hot same great excellent nice musical famous",five
"mexican favorite great good",five
"good decent other empty okay nice rude dirty sad enjoyable big",one
"filthiest filthy good worth cheap clean dirty",one
"urgent rude intelligent current",one
"awesome botanical same last",five
"fresh old green yellow good ridiculous",one
"same 1st true phoenician",one
"disappointed hot delicious old fresh crunchy good odd traditional japanese italian favorite separate friendly helpful",five
"awful",one
"",one
"breathtaking terrible strong bad least good great",five
"strong mexican many authentic several whole red excellent",five
"former many last edible dry old strange precooked hot tired disappointed empty",one
"few new current old unwilling annoyed different correct okay worse tired extra angered special duplicated satisfied great same previous exuberant insulting unable full certain disposable unwearable bad wrong inaccurate malicious",one
"rude professional brown",one
"good worthy bad many ready wrong alive remembered other",five
"incapable filthy unprofessional odd ridiculous needless major",one
"several helpful talkative anxious few interested lovely pleasant",five
"less complete worst embarrassed such terrible",one
"many such smaller able purple metallic",five
"green wonderful yummy cold great crazy",five
"current latest available soft magical romantic 50th favorite white super packed minor",five
"unique super friendly casual local corporate perfect wonderful",five
"59th 67th few consecutive green acrylic bad entire dark nasty infected angry old willing disappointed",one
"good",five
"wrong good last flat sorry",one
"few positive odd unpleasant slow worse good subtle layered huge weighted unnecessary many last necessary least raw embarrassed",one
"mortified such sick 10yr old disappointed",one
"located southern bad slowest lucky horrible central 7th",one
"mexican other",one
"multiple quickest super helpful flexible competitive",five
"national new poor happy timely worse",one
"wonderful different last few less automotive",one
"affordable super",five
"wonderful beautiful interpretive amazing annual full new same",five
"3rd cheap last redicolous great few rude",one
"sweet good free friendly honest",five
"happy uncool ridiculous elderly wildfish",one
"tastiest mexican weak timid amazing green fantastic great full delicious",five
"normal worst big large empty bad worse many good",one
"new",one
"low happy greek additional regular other such super good thin pre gross 2am bad authentic fresh",one
"amazing wonderful presidential spectacular awesome",five
"old blue dirty lousy attractive young ridiculous ugly stinky",one
"terrible longest bad",one
"nicest annual lovely friendly excellent fabulous present",five
"rude friendly poor same",one
"steep horrible wrong allergic soggy last rude flat stupid slow bad disgusted",one
"high uncomfortable pleasant terrible other odd correct essential professional brazilian tactful",one
"great friendly affordable",five
"last nice big impressive second friendly tiny free older obscure limited heavy newer lowest few same entire humid wretched new good",one
"tasty jamaican divey located several present large wrong helpful good able pointed true dead normal red other actual fair higher",one
"extra new huge ridiculous less unsympathetic unhelpful dramatic amazing friendly polite knowledgeable similar packed impressed grateful old inner inflated secure creative",five
"sorry fantastic last different same awful burnt huge sorriest good awesome crisp easy precooked thin bad free worse bright least",one
"few last particular bad young nice comfortable able busy other disappointed helpful needless funny upset second busier",one
"friendly attentive favorite great",five
"exceptional delicious warm friendly nice italian",five
"bland tasteless slower cold disappointed",one
"wonderful friendly helpful knowledgable eager",five
"few least special popular several large professional great high separate main convenient awesome younger",five
"good mongolian delicious quick",five
"favorite chinese friendly reasonable amazing sizeable several delightful ready fresh hot enjoyable prompt complimentary powdered numerous awesome large super cheap golden special",five
"other",one
"awesome friendly beautiful additional commercial",five
"mediocre nice hot few extra",one
"terrible red few",one
"quiet quaint beautiful great worth cheaper impressed delicious friendly comfortable spacious",five
"amazing nice personal favorite extra worthy",five
"last tony great attentive different rotten good weird sweet old dry edible flat",one
"great quiet",five
"great annual fantastic special",five
"",one
"different other expensive",one
"small ample great",five
"major great unique limited amazing authentic human faint younger individual transparent entire",five
"bad last great other cozy noisy",five
"good impressed horrible large sorry own bad",one
"great bad new",five
"vast friendly knowledgeable individual great small high electric acoustic quaint satisfied several different",five
"new rude busy 15mn decent worth",one
"nice clear ethical similar great personal",five
"other great surprising decent",five
"altered perfect quick",five
"friendly quick great",five
"worst heavy bad",one
"italian unseasoned bland reasonable",one
"good bad",one
"great awesome",five
"favorite welcome",five
"complete major 6pm 3pm entire",one
"last warm courteous pleasant attentive great delicious amazing delightful new",five
"regular awesome many fabulous unique pricey worth initial less general everyday full beautiful",five
"excellent authentic french true superb amazing great",five
"legitimate least decent wrong limited dead hot nice cold mixed huge entire okay closest simplistic happy warped",one
"few new mongolian amazing bland white smallest imaginable chinese sweet sour unheard edible usual oldest pre pubescent stale sketchy main red yellow blue able worst same good",one
"great faint reasonable previous noir low middle other larger",five
"foul murky adult small",one
"outstanding good friendly efficient happy super clean",five
"affordable helpful friendly",five
"least cheap friendly frequent other cheapy",five
"busy special hot big 2nd extra large poor other",one
"charming reasonable good busy great nice able adult",five
"second attentive excellent familiar tasty generious",five
"worst blind major visible",one
"disappointed friendly professional",one
"frequent last same great full good",five
"local tastier distasteful",one
"rude careless few extra",one
"mexican different authentic delicious reasonable awesome friendly",five
"last loud clear bad green frozen dry wrong good",one
"horrible busy second last hot",one
"less",one
"new cramped hot last dark okay many small sad adequate poor unpleasant",one
"great mexican handy dandy located good various other delicious black roasted big able fresh amazing free full new empty attentive superb nice pleasant ridiculous prepared extra few",five
"last free responsible full drunk same cheap",one
"great many",one
"horrible quick rude pushy",one
"open 30pm disrespectful new many",one
"countless okay mediocre unacceptable sorry commerical happy free simple other",one
"",one
"high full special many big super last okay nice shiny trim able clean simple green least extra fair",one
"free",five
"few knowledgeable professional friendly",five
"awful chilean",one
"excellent other comfortable efficient thorough",five
"great least tastless extra sour french worse prime middle dry disappointed",one
"great disappointed grilled many worth cooler",five
"non existent youngish dark red rude inept sad favorite",one
"good high bigger illegal big expensive smaller higher bad old",one
"new sorry terrible good",one
"drunk prime dirty visible messy non sad such good sketchy",one
"good wrong fresh greek bland soggy",one
"wonderful superb greater",five
"cold great easy clean",five
"quick friendly great",five
"many available unnecessary wonderful other good",five
"quick easy tasty few white wholesome heavy buttery gross clean small colorful friendly due limited terrific italian fresh careful",five
"worst full good extra original due single correct big fresh funny available other sorry 1st 2nd 3rd unavailable deceitful positive negative",one
"frequent nasty bloody difficult",one
"undivided ancient middle hot pushy glad various excellent amazing free wise",five
"decent big few bad worse",one
"different wrong frank second thorough proper",five
"different same third own good",one
"such civil latest single bad decorative problematic slow perpetual limited wise modern",one
"super nice new bigger",five
"perfect fresh awesome quick efficient packed",five
"good young ready smart third hung unbelievable",one
"bad greasy soggy bland overcooked good chinese such many tired disappointed",one
"greek bad italian soggy dry due old hot overcooked horrid reliable",one
"fresh warm mexican",five
"poor latest",one
"old good super great delicious wonderful nice friendly local central reasonable superb efficient other foreign obscure yummy excellent",five
"great good conventional excellent",five
"new wonderful",five
"favorite cheap younger",five
"wonderful nice helpful",five
"dreadful cold frozen terrible nasty tough fresh",one
"perfect great huge fair",five
"grand open whole",five
"several different sick surprised reasonable high perfect prepared awesome delicious dry fresh happy",five
"perfect special dark cozy intimate attentive big other fantastic heavy plentiful nice hungry pricey",five
"plentiful high fitting functional chinese dangerous",five
"pleasant healthy special great brown white perfect",five
"upset angry raw",one
"peaceful excellent casual worth",five
"few 20th red fresh awesome good thin thick favorite outer unique delicious open excellent classic simple heavy seperate new",five
"delicious surprised cheap",five
"wonderful fearful many commercial big old nice pleased new green happy",five
"",one
"handy dandy glad friendly good bigger dank impressed other wonderful",five
"okay 2nd",one
"careful bad good sick",one
"same nasty",one
"high other burnt hot sick rough good old",one
"located 16th great casual soft ample good moderate comfortable",five
"organizational true sad wonderful temporary demeaning organic surprised",five
"slow",one
"simple phenomenal perfect fresh worse delicious prepared awesome reasonable good",five
"small awesome wrong hearty",five
"french okay complete friendly",one
"clean friendly awful other",five
"worst personal elderly noisy good amazing easy other drunk decent friendly nice",one
"national retail great helpful less aforementioned",five
"good fortunate overcast lazy bad single free small old wet wild same grand",one
"dirty ready wrong great important",one
"organic non other awesome",five
"industrial charming simple special other quick miscellaneous awesome delicious",five
"personal favorite white prepared fresh great",five
"elastic least good wrong high laden pre mixed huge full satisfied biggest many dissapointed usual wonderful french addictive guilty",five
"horrible worth",one
"located ugly hellaa uncomfotable ridiculous stupid suspicious many white tall small bad",one
"worst consistent poor obvious responsible practical effective high",one
"sad few last famous",one
"old worst small experienced outraged fair",one
"favorite quick greasy awesome super local sustainable delicious",five
"tasty",five
"slow big mediocre italian",one
"elegant awful main unrestricted needless high cheap own",one
"great several local romanian ethnic wonderful willing many welcome second open ancient good",five
"serious racial questionable bad glad",one
"lengthy simple previous own same least compassionate open upfront sick necessary curious entire less 1st available small necrotic dead great wrong superior worth sorry clear",one
"timely due busy other keen actual",one
"excellent superb perfect attentive nice",five
"bad nice disappointed",one
"terrible dry good bad",one
"experienced unacceptable beautiful",one
"open bland low frozen",one
"filthy dirty poor english bummed hot",one
"many hot local serious famous inferior laughable secondary",five
"good seedy many middle aged unwilling",one
"nicer non full good black new higher crappy original open",one
"sad located great contemporary",five
"bad big",one
"beautiful great worth disappointed gorgeous nice special 5am uncontrollable other impressed",one
"full tough",one
"other impressed",one
"fantastic bad excellent true solid",five
"great happier",five
"delicious chinese",five
"frustrated expensive exemplary new green",five
"good new low cheaper nice honest willing few",five
"bogus",one
"nice few fantastic local favorite peccary adorable free warm",five
"outstanding excellent comfortable clean good crunchy softer large tasty pre white super nice wonderful baked fresh huge open single",five
"super attentive good white grilled nice flaky perfect mixed amazing other perk open small",five
"terrible good",one
"happy",five
"helpful bothersome",one
"superb",five
"own same healthy great excellent",five
"marine amazing clean spacious huge big entire flat full nice special solid non able",five
"large",one
"chaotic poor rude unhelpful great",one
"nice bad final big new overbooked different original wrong",one
"few thin unique different awesome subtle whole good polite generous reasonable",five
"rude current glad",one
"last",one
"ravishing tart heedless least good small romantic soft curtained natural warm discerning large pricey inevitable exorbitant necessary delicious particular perfect sweet savory honest rich notable weakest surprising expensive beautiful green creative moroccan complimentary previous same prepared scrumptious sleepy pleasurable nontraditional several blissful sugary",five
"wonderful magical",five
"frequent full small large extra other available empty",one
"free wireless worth happy fastest less pleasant",five
"small good",one
"good hot soft frozen synonymous old last fantastic diverse musical certain",five
"empty rude simple major sorry shitty east worth experienced such",one
"such worse avid few different great new regular worst possible experienced happy quick interrupted busy hung",one
"high busy",five
"awesome new great favorite green hungry welcome",five
"last local convertible",one
"amazing rudest new stupid many other single nice own",one
"worst small packed non sorry great whole",one
"horrible last inept secondary direct possible",one
"afraid longest friendly amazing serious big nice other pleasant convenient",five
"greatest chinese worth good friendly amazing young severe white lemon ready big open least",five
"horrible shady pathetic helpful less",one
"good reasonable large several ready exact available cramped free organizational horrible lousy previous slow friendly prompt",one
"bad dead surprising extra nice higher last numerous stupid friendly easy old",one
"slight second english multiple irrelevant unprofessional entire smart experienced adequate disrespectful terrible ineffective unfortunate exact opposite",one
"worst",one
"located many few last nice accurate great",one
"raw possible rancid warm frozen old retail full worst",one
"beloved worried medical few appropriate",five
"excellent flawless rude other bilingual reflexive dangerous careful",five
"good many favorite socialist minor competent quick sexual unemployed uninsured local",one
"good such favorite super friendly great free",five
"worst",one
"courteous knowledgeable quick worth",five
"good red original surprised great pleasant usual canadian old crispy hot",five
"nice sweet great",one
"pleasant friendly rude undercooked inner",one
"few local friendly amazing fantastic pricey worth huge great",five
"negative worst wise tiered second simple white hot okay old shitty worth",one
"general bad comical such",one
"small large weird",five
"new higher less wonderful southwestern good",one
"friendly other apologetic free good unpackaged dark sweet sour greasy tasteless bland frozen fresh inedible stringy sad",one
"horrible middle empty afraid able",one
"new awkward musty clear temporary",one
"rude old busy lovely",one
"happy second available thin natural narrow clunky uneven thick worse terrible old dark unprofessional such skilled poor least",one
"unhappy 2nd bad good nice last small other rude free stupid lucky",one
"new rich creamy full big fresh great satisfied impeccable friendly memorable special good",five
"favorite other good",five
"terrible unfortunate regular",one
"unique coolest last perfect",five
"full comical odd horrible other ridiculous poor italian last okay new good apt different",one
"lame endurance bad sudden happy last good extra old able conventional available new sweet",five
"worst many dishonest glad fewer arrogant",one
"awful prepared heavy unitalian stale senior italian good greek rude uninterested terrible",one
"last unwilling forthcoming inept accountable",one
"few bad concerned friendly knowledgeable happy picky vague indecisive fabulous",five
"favorite fantastic",five
"multiple fair low cheapest good icky iffy bland tasteless whole poor",one
"awesome such great excellent several horrible sciatic last correct few",five
"cheaper good serious experienced big regular easy bad main rude happy other quick worth",one
"last fantastic excellent prearranged special actual pricey worth pleased complimentary hot easy full spacious classy outdoor nice romantic warm good",five
"",five
"",one
"great unique sweet delicious amazing",five
"bad new old rid wrong lower interested non existent empathetic terrible",one
"good memorable cheesy random different sweet fresh authentic bad",five
"crazy rugged outstanding least fabulous worth",five
"poor ready special",one
"good expensive extreme medical whole terse illustrated",one
"impressed",five
"bad great excellent main",five
"fantastic good great",five
"disappointed few simple rude brash additional extra less middle foreign other economic small needless",one
"unused defunct happier big honest helpful great",five
"super friendly great busy awesome",five
"good cold",five
"horrible many critical due new comforting same rare nice cramped comfortable routine friendly least blank constant heartless different other secondary few timely simple amazing thoughtful last",one
"sick loud dirty rude accessible unable due prearranged good pointed",one
"dry clean fabulous dirty expensive delicate precious cleaner significant worth literal high fifth myriad such outstanding great impeccable small careful old huge fresh lesser same other cleansed free open compact full nice green spendy good new brighter fresher possible rumpled",five
"personal difficult rude regular worth heartless scandalous respectable",one
"new frozen favorite bad previous",one
"loud red worst entire cold tasteless hot ridiculous same third mexican utter poor",one
"great attentive nice",five
"amazing flawless",five
"friendly new fresh crispy tasty holy other open",five
"nice great tearless warm",five
"good hot extra",one
"absolute faux east 16th mexican surburban new less perfect other packed local huge overwhelming clean comfortable low fresh prepared entire intact good own literal small flat hungry great immense hispanic few adventurous asian english soft mushy cheap full baked awesome warm scary suburban",five
"amazing younger easy nervous comforting great",five
"sad disappointing original new modern high beautiful inferior good bland rude interested laughable dull few interesting hopeful surprised amazing tasteless exorbitant delicious memorable worth bad worst unable poor nice flavorless definite fantastic professional friendly wonderful fair",one
"awful rude inconsiderate unhelpful good few unfortunate numerous second friendly great",one
"cute great",five
"terrific usual adult yummy",five
"crispy",one
"bad crappy large hungry",one
"rude",one
"wrong gorgeous sweet single disappointed same",one
"fair honest practical single important worth",five
"diagnostic false defective worse worst wrong less old",one
"special watery hot french ordinary worst tough tasteless",one
"casual affordable japanese chinese good friendly indoor outdoor clean mongolian few extra white dark",five
"same bad sweet favorite",one
"few comfortable super nice friendly",five
"new lazy numerical pre old",one
"delicious great good blue easy warm awesome absolute beautiful young sweet bad such busy popular",five
"awesome super incredible",five
"happy great creative additional excellent",five
"great amazing friendly perfect",five
"predictable high great",five
"whole hesitant huge friendly similar great everyday",five
"full proper costly new old",one
"second amazing nice private polite lovely romantic happy special",five
"happier last new happy strongest stronger other able entire extra",five
"quiet few awful filthy dirty dry same tasteless horrendous sick nice",one
"awesome warm friendly helpful nice great",five
"good amazing chunky crisp green delicious nice crispy serious clear dark brown vile burnt cold complete few major inedible sick own",one
"fresh major fantastic easy interesting obvious great tropical helpful friendly small",five
